id,metric_type,age_group,sex,risk_level,condition_expr,priority,text_summary_template,text_evidence_template,text_action_template,evidence_ref,notes,feedback_text
KCL_総合点-壮年期-女-注意,KCL_総合点,壮年期,女,注意,sum(KCL1..KCL25)>=4 AND sum(KCL1..KCL25)<=7,90,総合の評価は「注意」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,小さな行動変更から始めましょう。 定期的な運動と栄養・口腔・メンタルのセルフケアを習慣化しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,あなたのフレイルチェック評価は「注意」となりました。この結果は、生活機能の低下リスクがあることを示唆しています。フレイルチェックは身体、栄養、口腔、社会参加、認知、気分といった多面的な領域を評価するもので、特に生活機能の維持に重要です。まずは小さな行動変更から始め、定期的な運動や栄養、口腔、メンタルのセルフケアを習慣化することをお勧めします。これにより、生活の質を向上させることが期待できます。なお、これは診断ではありませんので、不安な場合は専門家に相談してください。
KCL_総合点-壮年期-女-改善要,KCL_総合点,壮年期,女,改善要,sum(KCL1..KCL25)>=8,90,総合の評価は「改善要」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,受診・相談や専門プログラムの活用を検討してください。 定期的な運動と栄養・口腔・メンタルのセルフケアを習慣化しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,総合の評価は「改善要」となりました。これは、フレイルチェックの各領域がフレイル関連リスクと関連しており、生活機能の低下を早期に把握するための指標として重要だからです。今後は、受診や相談、専門プログラムの活用を検討し、定期的な運動や栄養、口腔、メンタルのセルフケアを習慣化することをお勧めします。なお、これは診断ではありませんので、不安な場合は専門家に相談してください。
KCL_総合点-前期高齢者-男-正常,KCL_総合点,前期高齢者,男,正常,sum(KCL1..KCL25)<=3,90,総合の評価は「正常」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,この状態を維持しましょう。 運動・栄養・口腔の三本柱を意識し、外出や社会参加を増やしましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,あなたのフレイルチェック評価結果は「良好」となりました。この結果は、生活機能の低下リスクが低いことを示しています。フレイルチェックは身体や栄養、口腔、社会参加など多面的な領域を評価し、介護予防に役立つ情報を提供します。この状態を維持するためには、運動・栄養・口腔の三本柱を意識し、外出や社会参加を増やすことが重要です。日々の生活にこれらを取り入れて、健康的な生活を続けましょう。なお、何か不安なことがあれば、専門家に相談することをお勧めします。
KCL_総合点-前期高齢者-男-注意,KCL_総合点,前期高齢者,男,注意,sum(KCL1..KCL25)>=4 AND sum(KCL1..KCL25)<=7,90,総合の評価は「注意」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,小さな行動変更から始めましょう。 運動・栄養・口腔の三本柱を意識し、外出や社会参加を増やしましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,総合評価は「注意」となりました。これは、フレイルチェックの各領域がフレイル関連リスクと関連しており、生活機能低下の早期把握に役立つためです。特に、身体機能や栄養、口腔の状態が重要で、これらの改善が介護予防につながります。小さな行動変更から始め、運動や栄養、口腔ケアを意識しながら、外出や社会参加を増やすことをお勧めします。生活習慣の見直しを通じて、健康を維持する手助けになりますので、不安な場合はぜひ相談してください。
KCL_総合点-前期高齢者-男-改善要,KCL_総合点,前期高齢者,男,改善要,sum(KCL1..KCL25)>=8,90,総合の評価は「改善要」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,受診・相談や専門プログラムの活用を検討してください。 運動・栄養・口腔の三本柱を意識し、外出や社会参加を増やしましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,総合の評価は「改善要」となりました。これは、フレイルチェックの各領域がフレイル関連リスクと関連しており、生活機能の低下を早期に把握するための指標として用いられるためです。受診や相談、専門プログラムの活用を検討し、運動・栄養・口腔の三本柱を意識して、外出や社会参加を増やすことをお勧めします。生活機能の維持には、日常的な活動が重要ですので、気になることがあれば専門家に相談してください。
KCL_総合点-前期高齢者-女-正常,KCL_総合点,前期高齢者,女,正常,sum(KCL1..KCL25)<=3,90,総合の評価は「正常」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,この状態を維持しましょう。 運動・栄養・口腔の三本柱を意識し、外出や社会参加を増やしましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,総合の評価は「良好」です。フレイルチェックの結果から、生活機能低下のリスクは低いと考えられます。この状態を維持するためには、運動・栄養・口腔の三本柱を意識し、外出や社会参加を増やすことが重要です。日常生活の中で、積極的に体を動かしたり、バランスの取れた食事を心がけたりすることで、健康を保つことができます。診断ではありませんが、何か不安なことがあれば、ぜひ相談してください。
KCL_総合点-前期高齢者-女-注意,KCL_総合点,前期高齢者,女,注意,sum(KCL1..KCL25)>=4 AND sum(KCL1..KCL25)<=7,90,総合の評価は「注意」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,小さな行動変更から始めましょう。 運動・栄養・口腔の三本柱を意識し、外出や社会参加を増やしましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,総合の評価は「注意」です。フレイルチェックの結果から、生活機能の低下リスクが示唆されています。これは、身体や栄養、口腔、社会参加など、さまざまな領域に関連しており、早期の介護予防が重要です。小さな行動変更から始め、運動や栄養、口腔の健康を意識しながら、外出や社会参加を増やしていくことをお勧めします。診断ではありませんが、不安な場合は専門家に相談してください。
KCL_総合点-前期高齢者-女-改善要,KCL_総合点,前期高齢者,女,改善要,sum(KCL1..KCL25)>=8,90,総合の評価は「改善要」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,受診・相談や専門プログラムの活用を検討してください。 運動・栄養・口腔の三本柱を意識し、外出や社会参加を増やしましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,総合の評価は「改善要」となりました。これは、フレイルチェックの各領域がフレイル関連リスクと関連しており、生活機能低下を早期に把握するための指標として重要だからです。受診や相談、専門プログラムの活用を検討し、運動・栄養・口腔の三本柱を意識することが大切です。また、外出や社会参加を増やすことで、より良い生活を送る手助けになります。診断ではありませんので、不安な場合は専門家に相談してください。
KCL_総合点-後期高齢者-男-正常,KCL_総合点,後期高齢者,男,正常,sum(KCL1..KCL25)<=3,90,総合の評価は「正常」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,この状態を維持しましょう。 無理のない範囲で継続し、地域の支援も活用しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,総合の評価は「良好」です。これは、フレイルチェックの各領域がフレイル関連リスクを評価し、生活機能低下を早期に把握するための指標として用いられるためです。この状態を維持するためには、無理のない範囲で日常生活を続け、運動や栄養に気を配ることが大切です。また、地域の支援を活用することで、より良い生活を送ることができるでしょう。なお、これは診断ではなく、生活機能低下リスクの早期把握を目的としたスクリーニングですので、不安な場合は専門家に相談してください。
KCL_総合点-後期高齢者-男-注意,KCL_総合点,後期高齢者,男,注意,sum(KCL1..KCL25)>=4 AND sum(KCL1..KCL25)<=7,90,総合の評価は「注意」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,小さな行動変更から始めましょう。 無理のない範囲で継続し、地域の支援も活用しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,総合の評価は「注意」となりました。これは、フレイルチェックの評価結果がフレイル関連リスクと関連しており、生活機能低下の早期把握に役立つためです。特に、身体機能や栄養、社会参加など多面的な領域が評価されており、リスクが高まる可能性があります。まずは小さな行動変更から始め、無理のない範囲で継続していくことが大切です。また、地域の支援を活用することで、より良い生活を送る手助けとなります。診断ではありませんので、不安な場合は専門家に相談してください。
KCL_総合点-後期高齢者-男-改善要,KCL_総合点,後期高齢者,男,改善要,sum(KCL1..KCL25)>=8,90,総合の評価は「改善要」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,受診・相談や専門プログラムの活用を検討してください。 無理のない範囲で継続し、地域の支援も活用しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,総合の評価は「改善要」となりました。これは、フレイルチェックの各領域がフレイル関連リスクと関連しており、生活機能低下の早期把握に役立つためです。今後は、受診や相談、専門プログラムの活用を検討してください。無理のない範囲での継続的な取り組みと、地域の支援を積極的に利用することが重要です。不安な場合は、専門家に相談することをお勧めします。
KCL_総合点-後期高齢者-女-正常,KCL_総合点,後期高齢者,女,正常,sum(KCL1..KCL25)<=3,90,総合の評価は「正常」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,この状態を維持しましょう。 無理のない範囲で継続し、地域の支援も活用しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,総合の評価は「良好」です。この結果は、フレイルチェックの各領域がフレイル関連リスクを把握するための指標として機能していることを示しています。特に、生活機能の低下を早期に見つけるための重要なツールです。この状態を維持するためには、無理のない範囲で日常生活を続け、地域の支援を活用することが大切です。診断ではありませんが、何か不安なことがあれば、専門家に相談することをお勧めします。
KCL_総合点-後期高齢者-女-注意,KCL_総合点,後期高齢者,女,注意,sum(KCL1..KCL25)>=4 AND sum(KCL1..KCL25)<=7,90,総合の評価は「注意」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,小さな行動変更から始めましょう。 無理のない範囲で継続し、地域の支援も活用しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,総合の評価は「注意」となりました。これは、フレイルチェックの評価結果がフレイル関連リスクと関連しており、生活機能の低下を早期に把握するための重要な指標であるためです。特に、身体や栄養、口腔、社会参加、認知、気分といった多面的な領域が評価されており、今後の生活に影響を与える可能性があります。小さな行動変更から始めることをお勧めします。無理のない範囲で継続し、地域の支援も活用していきましょう。なお、これは診断ではありませんので、不安な場合は専門家に相談することをお勧めします。
KCL_総合点-後期高齢者-女-改善要,KCL_総合点,後期高齢者,女,改善要,sum(KCL1..KCL25)>=8,90,総合の評価は「改善要」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,受診・相談や専門プログラムの活用を検討してください。 無理のない範囲で継続し、地域の支援も活用しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,総合の評価は「改善要」です。フレイルチェックの結果から、生活機能の低下リスクが示唆されており、特に身体や栄養、社会参加などの領域が関連しています。これは、今後の介護予防に向けて重要な指標となりますので、受診や相談、専門プログラムの活用を検討してください。無理のない範囲での継続的な取り組みと、地域の支援を活用することが大切です。不安な場合は、専門家に相談することをお勧めします。
KCL_20項目-青年期-男-正常,KCL_20項目,青年期,男,正常,sum(KCL1..KCL20)<=7,85,20項目の評価は「正常」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,この状態を維持しましょう。 生活リズムと活動量を整え、ストレス管理を意識しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,フレイルチェックの20項目評価の結果、あなたの状態は「良好」と判定されました。この評価は、フレイル関連リスクを把握するためのもので、生活機能の低下を早期に見つける手助けとなります。現在の状態を維持するためには、生活リズムや活動量を整え、ストレス管理を意識することが重要です。日常生活において、適度な運動やバランスの取れた食事を心がけてください。なお、これは診断ではありませんので、不安な場合は専門家に相談することをお勧めします。
KCL_20項目-青年期-男-注意,KCL_20項目,青年期,男,注意,sum(KCL1..KCL20)>=8 AND sum(KCL1..KCL20)<=9,85,20項目の評価は「注意」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,小さな行動変更から始めましょう。 生活リズムと活動量を整え、ストレス管理を意識しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,フレイルチェックの20項目評価の結果、あなたのリスクレベルは「注意」となりました。これは、フレイル関連リスクが示唆される状態であり、生活機能の低下を早期に把握するための重要な指標です。まずは、小さな行動変更から始めてみましょう。生活リズムや活動量を整えること、そしてストレス管理を意識することが大切です。これらの取り組みは、健康を維持するために役立ちます。なお、これは診断ではありませんので、不安な場合は専門家に相談することをお勧めします。
KCL_20項目-青年期-男-改善要,KCL_20項目,青年期,男,改善要,sum(KCL1..KCL20)>=10,85,20項目の評価は「改善要」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,受診・相談や専門プログラムの活用を検討してください。 生活リズムと活動量を整え、ストレス管理を意識しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,20項目の評価結果は「改善要」となりました。これは、フレイルチェックの各領域がフレイル関連リスクと関連しており、生活機能低下を早期に把握するための指標として重要であるためです。受診や相談、専門プログラムの活用を検討し、生活リズムや活動量を整えること、またストレス管理を意識することが推奨されます。なお、これは診断ではありませんので、不安な場合は専門家に相談してください。
KCL_20項目-青年期-女-正常,KCL_20項目,青年期,女,正常,sum(KCL1..KCL20)<=7,85,20項目の評価は「正常」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,この状態を維持しましょう。 生活リズムと活動量を整え、ストレス管理を意識しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,20項目の評価結果は「良好」となりました。この結果は、フレイル関連リスクが低いことを示しており、生活機能の維持に向けた良好な状態です。フレイルチェックは生活機能低下を早期に把握し、介護予防につなげるためのスクリーニングツールであり、身体や栄養、社会参加など多面的な領域を評価します。この状態を維持するためには、生活リズムや活動量を整え、ストレス管理にも意識を向けることが大切です。なお、何か不安な点があれば、専門家に相談することをお勧めします。
KCL_20項目-青年期-女-注意,KCL_20項目,青年期,女,注意,sum(KCL1..KCL20)>=8 AND sum(KCL1..KCL20)<=9,85,20項目の評価は「注意」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,小さな行動変更から始めましょう。 生活リズムと活動量を整え、ストレス管理を意識しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,フレイルチェックの20項目評価の結果、あなたのリスクレベルは「注意」となりました。この評価は、生活機能低下のリスクを把握するためのものであり、特に身体や栄養、社会参加などの多面的な領域を考慮しています。生活リズムや活動量を見直し、ストレス管理を意識することで、リスクを軽減することが可能です。小さな行動変更から始めてみましょう。なお、これは診断ではありませんので、不安な場合は専門家に相談することをお勧めします。
KCL_20項目-青年期-女-改善要,KCL_20項目,青年期,女,改善要,sum(KCL1..KCL20)>=10,85,20項目の評価は「改善要」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,受診・相談や専門プログラムの活用を検討してください。 生活リズムと活動量を整え、ストレス管理を意識しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,20項目の評価結果は「改善要」となりました。この結果は、フレイル関連リスクが高まっていることを示唆しています。特に、生活機能の低下が進行する前に早期に対策を講じることが重要です。受診や専門プログラムの活用を検討し、生活リズムや活動量を整えること、さらにストレス管理を意識することが推奨されます。診断ではありませんが、不安な場合は専門家に相談することをお勧めします。
KCL_20項目-壮年期-男-正常,KCL_20項目,壮年期,男,正常,sum(KCL1..KCL20)<=7,85,20項目の評価は「正常」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,この状態を維持しましょう。 定期的な運動と栄養・口腔・メンタルのセルフケアを習慣化しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,20項目の評価の結果、あなたの状態は「良好」と判定されました。これは、フレイルチェックが生活機能低下のリスクを多面的に評価するものであり、特に身体や栄養、口腔、メンタルの健康に関連しています。この良好な状態を維持するためには、定期的な運動や栄養管理、口腔ケア、メンタルヘルスのセルフケアを日常生活に取り入れることが重要です。今後も健康を保つために、これらの習慣を続けていきましょう。なお、何か不安な点があれば、専門家に相談することをお勧めします。
KCL_20項目-壮年期-男-注意,KCL_20項目,壮年期,男,注意,sum(KCL1..KCL20)>=8 AND sum(KCL1..KCL20)<=9,85,20項目の評価は「注意」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,小さな行動変更から始めましょう。 定期的な運動と栄養・口腔・メンタルのセルフケアを習慣化しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,フレイルチェックの20項目評価の結果、あなたのリスクレベルは「注意」となりました。この評価は、生活機能の低下やフレイルに関連するリスクを把握するためのもので、特に身体、栄養、口腔、メンタルの各領域が含まれています。リスクが高まる前に、日常生活において小さな行動変更を始めることが大切です。定期的な運動や栄養管理、口腔ケア、メンタルヘルスのセルフケアを習慣化することで、生活の質を向上させることができます。なお、これは診断ではありませんので、不安な場合は専門家に相談してください。
KCL_20項目-壮年期-男-改善要,KCL_20項目,壮年期,男,改善要,sum(KCL1..KCL20)>=10,85,20項目の評価は「改善要」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,受診・相談や専門プログラムの活用を検討してください。 定期的な運動と栄養・口腔・メンタルのセルフケアを習慣化しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,20項目の評価結果は「改善要」となりました。この結果は、フレイル関連リスクが高まっていることを示唆しています。フレイルチェックは生活機能の低下を早期に把握し、介護予防につなげるための重要なツールです。受診や専門プログラムの活用を検討し、定期的な運動、栄養管理、口腔ケア、メンタルヘルスのセルフケアを習慣化することが推奨されます。生活の質を向上させるために、ぜひ行動を起こしてみてください。不安な場合は、専門家に相談することも大切です。
KCL_20項目-壮年期-女-正常,KCL_20項目,壮年期,女,正常,sum(KCL1..KCL20)<=7,85,20項目の評価は「正常」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,この状態を維持しましょう。 定期的な運動と栄養・口腔・メンタルのセルフケアを習慣化しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,20項目の評価結果は「良好」となりました。この結果は、フレイル関連リスクが低いことを示しており、生活機能の維持に向けた良好な状態です。フレイルチェックは、身体・栄養・口腔・社会参加・認知・気分など多面的な領域を評価し、生活機能低下を早期に把握するためのツールです。この状態を維持するためには、定期的な運動や栄養管理、口腔ケア、メンタルヘルスのセルフケアを習慣化することが重要です。なお、これは診断ではなく、今後の健康維持に向けた参考としてご活用ください。不安な場合は、専門家に相談することをお勧めします。
KCL_20項目-壮年期-女-注意,KCL_20項目,壮年期,女,注意,sum(KCL1..KCL20)>=8 AND sum(KCL1..KCL20)<=9,85,20項目の評価は「注意」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,小さな行動変更から始めましょう。 定期的な運動と栄養・口腔・メンタルのセルフケアを習慣化しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,フレイルチェックの20項目評価の結果、あなたのリスクレベルは「注意」となりました。この結果は、生活機能の低下リスクがあることを示唆しています。特に身体、栄養、口腔、メンタルの各領域において、注意が必要です。まずは小さな行動変更から始め、定期的な運動や栄養管理、口腔ケア、メンタルケアを習慣化することをお勧めします。これらのセルフケアを通じて、健康を維持し、生活の質を向上させることができます。なお、これは診断ではありませんので、不安な場合は専門家に相談してください。
KCL_20項目-壮年期-女-改善要,KCL_20項目,壮年期,女,改善要,sum(KCL1..KCL20)>=10,85,20項目の評価は「改善要」です。,KCLの各領域はフレイル関連リスクと関連し、二次予防の抽出基準として用いられます。,受診・相談や専門プログラムの活用を検討してください。 定期的な運動と栄養・口腔・メンタルのセルフケアを習慣化しましょう。,Satake 2018（日老医誌55:319-328）,閾値や表現は運用方針に応じて調整可。,20項目の評価結果は「改善要」となりました。この結果は、フレイル関連のリスクが示唆されており、生活機能の低下を早期に把握するための重要な指標です。受診や専門プログラムの活用を検討し、定期的な運動や栄養、口腔、メンタルのセルフケアを習慣化することをお勧めします。これにより、生活の質を向上させる手助けとなるでしょう。なお、これは診断ではありませんので、不安な場合は専門家に相談してください。
