metric_type,domain,age_group,risk_level,sex,feedback_text,No,質問項目,age,年齢
KHQ_Q2,,前期高齢者,改善要,女性,毎日の生活に満足していないと感じているかもしれませんが、小さな楽しみや交流を増やすことで、気持ちが明るくなることがあります。ぜひ、周りの方とお話ししたり、外に出てみることを考えてみてください。,,,,
KHQ_Q2,,後期高齢者,正常,男性,毎日の生活に満足されているとのこと、素晴らしいですね。この調子で、趣味や交流を大切にしながら、さらなる充実した日々をお過ごしください。,,,,
KHQ_Q2,,後期高齢者,正常,女性,毎日の生活に満足されているとのこと、とても素晴らしいですね。この調子で、趣味や交流を大切にしながら、さらなる充実感を感じられるような活動を続けていきましょう。,,,,
KHQ_Q2,,後期高齢者,注意,男性,毎日の生活にやや不満を感じているとのことですが、小さな楽しみや交流を増やすことで、気持ちが明るくなるかもしれません。ぜひ、周りの方とお話しする機会を持ったり、気軽に相談してみてください。,,,,
KHQ_Q2,,後期高齢者,注意,女性,毎日の生活にやや不満を感じているとのことですが、小さな楽しみや交流を増やすことで、より満足感を得られるかもしれません。ぜひ、周囲の方とお話ししたり、気軽に相談してみてください。,,,,
KHQ_Q2,,後期高齢者,改善要,男性,毎日の生活に満足していないと感じることがあるかもしれませんが、小さな楽しみや交流を増やすことで、気持ちが明るくなることがあります。ぜひ、周囲の方とお話ししたり、外に出る機会を増やしてみてください。,,,,
KHQ_Q2,,後期高齢者,改善要,女性,毎日の生活に満足していないと感じているかもしれませんが、小さな楽しみや交流を増やすことで、心の健康を向上させることができます。もしお困りのことがあれば、ぜひ周りの方や専門家に相談してみてください。,,,,
KHQ_Q3,,青年期,正常,男性,1日3食きちんと食べているとのことで、素晴らしい食習慣を維持されていますね。この調子で、引き続き栄養バランスに気を付けながら、何か気になることがあればいつでもご相談ください。,,,,
KHQ_Q3,,青年期,正常,女性,1日3食きちんと食べているとのこと、素晴らしい習慣ですね。この調子で健康を維持し、何か気になることがあればいつでも相談してください。,,,,
KHQ_Q3,,青年期,注意,男性,1日3食きちんと食べることは、健康を維持するために大切ですので、ぜひ食事の内容やバランスにも気を配ってみてください。もし何かお困りのことがあれば、気軽に相談してくださいね。,,,,
KHQ_Q3,,青年期,注意,女性,1日3食きちんと食べることは、健康を維持するためにとても大切ですので、ぜひ食事の内容や時間を見直してみてください。もし何かお困りのことがあれば、気軽に相談してくださいね。,,,,
KHQ_Q3,,青年期,改善要,男性,1日3食の食事がきちんと取れていないとのことですが、栄養をしっかり摂ることは健康維持にとても大切です。少しずつでも食事の回数や内容を見直してみると良いかもしれませんので、何かお困りのことがあればぜひ相談してください。,,,,
KHQ_Q3,,青年期,改善要,女性,食事の規則性が大切ですので、ぜひ1日3食を意識してみてください。もし何かお困りのことがあれば、気軽に相談してくださいね。,,,,
KHQ_Q3,,壮年期,正常,男性,1日3食きちんと食べているとのことで、素晴らしい食習慣を維持されていますね。この調子で、体重や口腔機能にも気を配りながら、健康をサポートしていきましょう。,,,,
KHQ_Q3,,壮年期,正常,女性,1日3食きちんと食べているとのこと、素晴らしい習慣を維持されていますね。この調子で、引き続き栄養バランスに気を付けながら、何か気になることがあればお気軽に相談してください。,,,,
KHQ_Q3,,壮年期,注意,男性,1日3食きちんと食べることは、健康を維持するために大切ですので、食事の内容や摂取量を見直してみるのも良いかもしれません。もしお困りのことがあれば、ぜひ相談してみてください。,,,,
KHQ_Q3,,壮年期,注意,女性,日々の食事を大切にすることは、健康を維持するためにとても重要ですので、もし食事に関して不安やお困りのことがあれば、ぜひ周囲の方や専門家に相談してみてください。あなたの健康を支えるための一歩を、一緒に考えていきましょう。,,,,
KHQ_Q3,,壮年期,改善要,男性,1日3食の食事がきちんとできていないとのことですが、栄養バランスを見直す良い機会です。共に食事を楽しむことや、相談できる専門家を利用することで、健康的な食習慣を築いていきましょう。,,,,
KHQ_Q3,,壮年期,改善要,女性,毎日3食きちんと食べることは、健康維持にとても大切です。もし食事に不安があるようでしたら、ぜひ周りの方や専門家に相談してみてください。,,,,
KHQ_Q3,,前期高齢者,正常,男性,1日3食きちんと食べているとのことで、素晴らしい食習慣を維持されていますね。この調子で、体重や口腔の健康にも気を配りながら、さらに充実した食生活を楽しんでください。,,,,
KHQ_Q3,,前期高齢者,正常,女性,1日3食きちんと食べているとのこと、素晴らしい習慣ですね。この調子で健康を維持し、何か気になることがあればぜひご相談ください。,,,,
KHQ_Q3,,前期高齢者,注意,男性,1日3食きちんと食べることは、健康維持にとても大切ですので、ぜひ食事の内容や時間を見直してみてください。もし何かお困りのことがあれば、気軽に相談してくださいね。,,,,
KHQ_Q3,,前期高齢者,注意,女性,1日3食きちんと食べることは、健康を維持するためにとても大切ですので、もし何かお困りのことがあれば、ぜひ周囲の方や専門家に相談してみてください。あなたの食事習慣を見直すことで、より良い生活を送る一歩を踏み出せるかもしれません。,,,,
KHQ_Q3,,前期高齢者,改善要,男性,1日3食の食事がきちんとできていないとのことですが、少しずつでも食事の回数を増やすことから始めてみましょう。栄養についての相談が必要でしたら、いつでもお話しできる場所がありますので、気軽にご利用ください。,,,,
KHQ_Q3,,前期高齢者,改善要,女性,食事の習慣を見直すことで、より健康的な生活を送ることができますので、ぜひ共に食事を楽しむ機会を増やしてみてください。何かお困りのことがあれば、気軽に相談してくださいね。,,,,
KHQ_Q3,,後期高齢者,正常,男性,1日3食きちんと食べているとのこと、素晴らしい習慣ですね。この調子で健康を維持し、何か気になることがあればいつでもご相談ください。,,,,
KHQ_Q3,,後期高齢者,正常,女性,1日3食きちんと食べているとのことで、素晴らしい食習慣を維持されていますね。この調子で、引き続き栄養バランスに気を付けながら、何か気になることがあればぜひご相談ください。,,,,
KHQ_Q3,,後期高齢者,注意,男性,1日3食きちんと食べることは、健康を維持するためにとても大切ですので、ぜひ食事の内容や時間を見直してみてください。もし何かお困りのことがあれば、いつでも相談してくださいね。,,,,
KHQ_Q3,,後期高齢者,注意,女性,1日3食きちんと食べることは、健康維持にとても大切ですので、もし何かお困りのことがあれば、ぜひご相談ください。少しずつでも食事の内容を見直していくことで、より良い栄養状態を目指しましょう。,,,,
KHQ_Q3,,後期高齢者,改善要,男性,1日3食の食事がきちんと取れていないとのことですが、栄養をしっかり摂ることは健康維持にとても大切です。ぜひ、食事の内容や回数を見直してみて、何かお困りのことがあればお気軽に相談してください。,,,,
KHQ_Q3,,後期高齢者,改善要,女性,1日3食の食事がきちんとできていないようですので、ぜひ食事の内容や時間を見直してみてください。もしお困りのことがあれば、気軽に相談してみることをお勧めします。,,,,
KHQ_Q4,,青年期,正常,男性,半年前と比べて固いものが食べにくくなっていないとのこと、咀嚼機能が維持されていることを嬉しく思います。今後も健康的な食生活を続けるために、定期的な歯科チェックを検討されると良いでしょう。,,,,
KHQ_Q4,,青年期,正常,女性,半年前と比べて固いものが食べにくくないとのこと、咀嚼機能がしっかり維持されていますね。この調子で、定期的に口腔の健康をチェックし、楽しい食事を続けていきましょう。,,,,
KHQ_Q4,,青年期,注意,男性,固いものが食べにくくなったと感じることは、咀嚼力の低下を示すサインかもしれません。今後の食事内容を見直したり、専門家に相談することで、より快適な食生活をサポートできますので、ぜひ一歩踏み出してみてください。,,,,
KHQ_Q4,,青年期,注意,女性,固いものが食べにくくなったと感じることは、咀嚼力の変化を示すサインですので、ぜひ一度相談してみてください。食事内容を見直すことで、より快適に食事を楽しむことができるかもしれません。,,,,
KHQ_Q4,,青年期,改善要,男性,固いものが食べにくくなったとのことですが、これは咀嚼機能の改善が必要なサインかもしれません。ぜひ、食事内容を見直したり、専門家に相談してみることをお勧めします。,,,,
KHQ_Q4,,青年期,改善要,女性,固いものが食べにくくなったとのこと、少し気になる点ですね。今後のために、口腔機能を維持するための相談をしてみるのも良いかもしれません。,,,,
KHQ_Q4,,壮年期,正常,男性,咀嚼力が正常であることは素晴らしいことですので、今後もその状態を維持できるよう、定期的な歯科チェックをお勧めします。もし何か気になることがあれば、ぜひご相談ください。,,,,
KHQ_Q4,,壮年期,正常,女性,半年前と比べて固いものが食べにくくないとのこと、素晴らしい維持状態です。この調子で、定期的な歯科チェックを続けながら、健康的な食生活を楽しんでください。,,,,
KHQ_Q4,,壮年期,注意,男性,固いものが食べにくくなったと感じているとのこと、少しずつ食事内容を見直すことで、咀嚼力を維持する手助けができるかもしれません。必要であれば、専門家に相談してみるのも良いでしょう。,,,,
KHQ_Q4,,壮年期,注意,女性,固いものが食べにくくなったと感じているとのこと、少しずつ食事内容を見直すことが大切です。もしご心配な点があれば、ぜひ専門家に相談してみてください。,,,,
KHQ_Q4,,壮年期,改善要,男性,固いものが食べにくくなったとのこと、少しずつ食事内容を見直すことが大切です。ぜひ、専門家に相談しながら、咀嚼力を保つための工夫をしていきましょう。,,,,
KHQ_Q4,,壮年期,改善要,女性,固いものが食べにくくなったとのこと、少しずつ改善に向けて取り組むことが大切です。口腔機能を保つために、ぜひ専門家に相談してみてください。,,,,
KHQ_Q4,,前期高齢者,正常,男性,咀嚼機能が正常であることは素晴らしいことですので、今後もその状態を維持するために、定期的な歯科チェックをお勧めします。食事を楽しむための工夫を続けていきましょう。,,,,
KHQ_Q4,,前期高齢者,正常,女性,咀嚼機能が正常であることは素晴らしいことですので、今後もその状態を維持できるよう、定期的な歯科チェックをお勧めします。もし何か気になることがあれば、ぜひご相談ください。,,,,
KHQ_Q4,,前期高齢者,注意,男性,固いものが食べにくくなったと感じることは、加齢に伴う自然な変化の一つです。今後の食事内容や口腔ケアについて相談し、健康的な食生活を維持していきましょう。,,,,
KHQ_Q4,,前期高齢者,注意,女性,固いものが食べにくくなったと感じられるのは、咀嚼力の変化を示していますので、ぜひ食事内容を見直したり、専門家に相談してみてください。少しずつ工夫を重ねることで、より快適な食生活を楽しむことができるでしょう。,,,,
KHQ_Q4,,前期高齢者,改善要,男性,固いものが食べにくくなったと感じているとのこと、少しずつ改善を目指していきましょう。食事内容の見直しや、専門家への相談が役立つかもしれませんので、ぜひご検討ください。,,,,
KHQ_Q4,,前期高齢者,改善要,女性,固いものが食べにくくなったと感じているとのことですが、これは咀嚼力の低下を示すサインかもしれません。ぜひ、食事内容を見直したり、専門家に相談してみることで、より快適な食生活を目指していきましょう。,,,,
KHQ_Q4,,後期高齢者,正常,男性,咀嚼機能が正常であることは素晴らしいことですので、今後もその状態を維持できるよう、定期的な歯科チェックやバランスの取れた食事を心がけてください。何か気になることがあれば、ぜひ相談してください。,,,,
KHQ_Q4,,後期高齢者,正常,女性,咀嚼機能が正常であることは素晴らしいことですので、今後もその状態を維持できるよう、定期的に歯科の相談をされることをお勧めします。引き続き、バランスの取れた食事を楽しんでください。,,,,
KHQ_Q4,,後期高齢者,注意,男性,固いものが食べにくくなったと感じられるとのこと、少しずつ食事内容を見直すことが大切です。必要であれば、専門家に相談し、咀嚼力を維持するためのアドバイスを受けることをお勧めします。,,,,
KHQ_Q4,,後期高齢者,注意,女性,固いものが食べにくくなったと感じることは、加齢に伴う自然な変化の一つです。今後の食事内容や口腔ケアについて、ぜひご相談ください。,,,,
KHQ_Q4,,後期高齢者,改善要,男性,固いものが食べにくくなったとのこと、少しずつ食事内容を見直してみることをお勧めします。必要に応じて、専門家に相談しながら、咀嚼力を維持するための工夫をしていきましょう。,,,,
KHQ_Q4,,後期高齢者,改善要,女性,固いものが食べにくくなったとのこと、少しずつ改善を目指していきましょう。食事の内容や咀嚼について気になることがあれば、ぜひご相談ください。,,,,
KHQ_Q5,,青年期,正常,男性,むせることがないとのことで、素晴らしい状態を維持されていますね。今後も水分補給や食事の際には注意を払いながら、健康を保つための相談もお気軽に行ってください。,,,,
KHQ_Q5,,青年期,正常,女性,むせることがないとのことで、素晴らしい状態を維持されていますね。今後も水分摂取時はリラックスしてお楽しみいただき、何か気になることがあればお気軽にご相談ください。,,,,
KHQ_Q5,,青年期,注意,男性,お茶や汁物でむせることがあるとのこと、少し注意が必要です。日常生活での食事の工夫や、気になることがあればぜひ相談してみてください。,,,,
KHQ_Q5,,青年期,注意,女性,お茶や汁物でむせることがあるとのこと、少し注意が必要です。日常生活での食事の工夫や、気になることがあればぜひ相談してみてください。,,,,
KHQ_Q5,,青年期,改善要,男性,お茶や汁物でむせることがあるとのこと、少し気を付けてみると良いかもしれません。食事の際の姿勢や一口の量を工夫することで、より安心して食事を楽しむことができますので、ぜひご相談ください。,,,,
KHQ_Q5,,青年期,改善要,女性,お茶や汁物でむせることがあるとのこと、少し気になる点ですね。日常生活での工夫や、専門家への相談を通じて、より安心して食事を楽しめるようにサポートを受けることをお勧めします。,,,,
KHQ_Q5,,壮年期,正常,男性,むせることがないとのことで、素晴らしい状態を維持されていますね。今後も水分補給や食事の際にはリラックスして楽しむことを心がけ、何か気になることがあればお気軽にご相談ください。,,,,
KHQ_Q5,,壮年期,正常,女性,むせることがないとのことで、素晴らしい状態を維持されていますね。今後も疲れた時や水分を摂る際には注意を払いながら、健康を大切にしてください。,,,,
KHQ_Q5,,壮年期,注意,男性,お茶や汁物でむせることがあるとのこと、注意が必要ですが、少しずつ改善を目指すことができます。食事の際は姿勢に気を付けたり、一口量を調整することを意識してみてくださいね。,,,,
KHQ_Q5,,壮年期,注意,女性,お茶や汁物でむせることがあるとのこと、注意が必要ですが、日常生活での工夫を取り入れることで改善が期待できます。食事の際は、姿勢に気を付けたり、一口の量を調整したりすることを意識してみてくださいね。,,,,
KHQ_Q5,,壮年期,改善要,男性,お茶や汁物でむせることがあるとのこと、少し気を付けることで改善が期待できます。食事の際は姿勢を正し、一口量を少なめにすることを心がけてみてください。,,,,
KHQ_Q5,,壮年期,改善要,女性,お茶や汁物でむせることがあるとのこと、少し気になる点ですね。日常生活での工夫や、専門家への相談を通じて、より安心して食事を楽しめるようにサポートを受けてみてください。,,,,
KHQ_Q5,,前期高齢者,正常,男性,むせることがないとのことで、素晴らしい状態を維持されていますね。今後も水分補給や食事の際には、ゆっくりと楽しむことを心がけてください。,,,,
KHQ_Q5,,前期高齢者,正常,女性,お茶や汁物でむせることがないとのことで、素晴らしい状態を維持されていますね。今後も安心して食事を楽しむために、疲れた時や水分を摂る際には少し注意を払い、定期的にご自身の状態をチェックしてみてください。,,,,
KHQ_Q5,,前期高齢者,注意,男性,お茶や汁物でむせることがあるとのこと、注意が必要ですが、日常生活での工夫を取り入れることで改善が期待できます。食事の際は、姿勢に気を付けたり、一口量を少なめにすることを意識してみてくださいね。,,,,
KHQ_Q5,,前期高齢者,注意,女性,お茶や汁物でむせることがあるとのこと、少し注意が必要ですね。日常生活での食事の工夫や、必要に応じて専門家に相談することで、より安心して食事を楽しむことができるでしょう。,,,,
KHQ_Q5,,前期高齢者,改善要,男性,お茶や汁物でむせることがあるとのこと、少し気を付けることで改善が期待できます。食事の際は姿勢を正し、一口量を少なめにすることを心がけてみてくださいね。,,,,
KHQ_Q5,,前期高齢者,改善要,女性,お茶や汁物でむせることがあるとのこと、まずはそのことに気づかれたことが大切です。今後は、食事の際に姿勢や一口量に気を付けることを心がけてみてください。,,,,
KHQ_Q5,,後期高齢者,正常,男性,むせることがないとのことで、素晴らしい状態を維持されていますね。引き続き、疲れた時や水分を摂る際には注意を払い、定期的にご自身の状態を確認することをお勧めします。,,,,
KHQ_Q5,,後期高齢者,正常,女性,お茶や汁物でむせることがないとのことで、素晴らしい状態を維持されていますね。今後も安心して食事を楽しむために、疲れた時や水分を摂る際には少し気を付けてみてください。,,,,
KHQ_Q5,,後期高齢者,注意,男性,お茶や汁物でむせることがあるとのこと、注意が必要ですが、日常生活での工夫を取り入れることで改善が期待できます。食事の際は、姿勢に気を付けたり、一口量を少しずつにすることを試してみてください。,,,,
KHQ_Q5,,後期高齢者,注意,女性,お茶や汁物でむせることがあるとのこと、少し注意が必要です。日常生活での食事の工夫や、必要に応じて専門家に相談することで、より安全に楽しむことができますので、ぜひ取り入れてみてください。,,,,
KHQ_Q5,,後期高齢者,改善要,男性,お茶や汁物でむせることがあるとのこと、まずはその状態を把握できたことを大切にしましょう。日常生活での工夫や専門家への相談を通じて、より安全に食事を楽しむ方法を見つけていきましょう。,,,,
KHQ_Q5,,後期高齢者,改善要,女性,お茶や汁物でむせることがあるとのこと、少し気になる点ですね。安全に食事を楽しむために、専門家に相談し、具体的なアドバイスを受けることをお勧めします。,,,,
KHQ_Q6,,青年期,正常,男性,体重の変化がなく、良好な状態を維持されていることをお喜び申し上げます。この調子で、定期的な体重測定や食事・運動の継続を心がけて、健康を保っていきましょう。,,,,
KHQ_Q6,,青年期,正常,女性,体重の変化が見られないことは素晴らしいことですので、今後も健康的な食事や運動を続けて、体調を維持していきましょう。何か気になることがあれば、いつでも相談してください。,,,,
KHQ_Q6,,青年期,注意,男性,体重が減少していることに注意が必要ですので、食事や生活習慣について一度相談してみることをお勧めします。小さな改善から始めることで、健康を維持する手助けになります。,,,,
KHQ_Q6,,青年期,注意,女性,体重の減少が見られたとのことですが、まずは日々の食事や生活習慣を見直してみることをお勧めします。気になる点があれば、ぜひ専門家に相談してみてください。,,,,
KHQ_Q6,,青年期,改善要,男性,体重が減少していることは、栄養状態や健康に影響を与える可能性がありますので、食事内容や生活習慣について一度相談してみることをお勧めします。少しずつ改善に向けて取り組んでいきましょう。,,,,
KHQ_Q6,,青年期,改善要,女性,最近の体重減少が見られたとのことですが、栄養状態や生活習慣について一緒に考えていきましょう。必要に応じて専門家に相談することで、より健康的な生活をサポートできますので、安心して取り組んでください。,,,,
KHQ_Q6,,壮年期,正常,男性,体重の変化がなく、健康状態が維持されていることは素晴らしいことです。この調子で、定期的に体重や筋力をチェックし、日々の食事や運動を続けていきましょう。,,,,
KHQ_Q6,,壮年期,正常,女性,体重の変化がなく、健康な状態を維持されていることをお喜び申し上げます。今後も定期的に体重や筋力をチェックし、食事や運動を続けていくことで、さらなる健康維持に努めていきましょう。,,,,
KHQ_Q6,,壮年期,注意,男性,体重が減少していることに注意が必要ですので、食事内容や生活習慣について見直してみることをお勧めします。何か気になることがあれば、ぜひご相談ください。,,,,
KHQ_Q6,,壮年期,注意,女性,体重の減少が見られたとのことですが、栄養状態や生活習慣について見直す良い機会です。ぜひ、食事や運動について相談し、健康を維持するための一歩を踏み出してみてください。,,,,
KHQ_Q6,,壮年期,改善要,男性,最近の体重減少が見られたとのことですが、栄養状態や生活習慣について見直す良い機会です。ぜひ、食事内容や運動について相談してみてください。,,,,
KHQ_Q6,,壮年期,改善要,女性,体重が減少しているとのことですが、栄養状態や生活習慣を見直す良い機会です。ぜひ、専門家に相談しながら、食事や運動を工夫して健康を維持していきましょう。,,,,
KHQ_Q6,,前期高齢者,正常,男性,体重の変化が見られないことは素晴らしいことですので、今後もその状態を維持できるよう、食事や運動を続けていきましょう。何か気になることがあれば、いつでもご相談ください。,,,,
KHQ_Q6,,前期高齢者,正常,女性,体重の変化がないことは素晴らしいことですので、今後もその状態を維持できるよう、食事や運動を続けていきましょう。何か気になることがあれば、いつでもご相談ください。,,,,
KHQ_Q6,,前期高齢者,注意,男性,体重が減少していることに注意が必要ですが、日々の食事や運動を見直す良い機会です。何か気になることがあれば、ぜひご相談ください。,,,,
KHQ_Q6,,前期高齢者,注意,女性,体重の減少が見られたとのことですが、栄養状態や生活習慣について一緒に考えていきましょう。何か気になることがあれば、ぜひご相談ください。,,,,
KHQ_Q6,,前期高齢者,改善要,男性,体重が減少していることは、栄養状態や健康に影響を与える可能性がありますので、食事内容や生活習慣について一度相談してみることをお勧めします。少しずつ改善に向けて取り組むことで、より健康的な生活を送ることができるでしょう。,,,,
